mins,price,closeTime,timestamp,fetch_time,price_float
5,64169.89376135,1771976041007,2026-02-24T23:34:00.079701+00:00,2026-02-25 00:34:02,64169.89376135
5,64164.22596992,1771976100419,2026-02-24T23:35:00.079701+00:00,2026-02-25 00:35:01,64164.22596992
5,64157.58621822,1771976161134,2026-02-24T23:36:00.079701+00:00,2026-02-25 00:36:01,64157.58621822
5,64162.79476053,1771976220849,2026-02-24T23:37:00.079701+00:00,2026-02-25 00:37:01,64162.79476053
5,64168.25154164,1771976280454,2026-02-24T23:38:00.079701+00:00,2026-02-25 00:38:01,64168.25154164
5,64181.57683044,1771976340952,2026-02-24T23:39:00.079701+00:00,2026-02-25 00:39:01,64181.57683044
5,64203.01088854,1771976401333,2026-02-24T23:40:00.079701+00:00,2026-02-25 00:40:01,64203.01088854
5,64212.03142393,1771976461287,2026-02-24T23:41:00.098600+00:00,2026-02-25 00:41:01,64212.03142393
5,64218.72245016,1771976520946,2026-02-24T23:42:01.616476+00:00,2026-02-25 00:42:03,64218.72245016
5,64229.46836859,1771976581322,2026-02-24T23:43:01.616476+00:00,2026-02-25 00:43:02,64229.46836859
5,64210.03353145,1771976640872,2026-02-24T23:44:01.616476+00:00,2026-02-25 00:44:02,64210.03353145
5,64187.05039073,1771976701426,2026-02-24T23:45:01.616476+00:00,2026-02-25 00:45:02,64187.05039073
5,64175.20077489,1771976761617,2026-02-24T23:46:01.616476+00:00,2026-02-25 00:46:02,64175.20077489
5,64153.16439585,1771976822149,2026-02-24T23:47:01.616476+00:00,2026-02-25 00:47:02,64153.16439585
5,64132.99099388,1771976882166,2026-02-24T23:48:01.616476+00:00,2026-02-25 00:48:03,64132.99099388
5,64124.81358095,1771976942728,2026-02-24T23:49:01.616476+00:00,2026-02-25 00:49:03,64124.81358095
5,64118.3579259,1771977002639,2026-02-24T23:50:01.616476+00:00,2026-02-25 00:50:03,64118.3579259
5,64114.57931519,1771977062873,2026-02-24T23:51:01.616476+00:00,2026-02-25 00:51:03,64114.57931519
5,64107.04112886,1771977122153,2026-02-24T23:52:01.616476+00:00,2026-02-25 00:52:03,64107.04112886
5,64089.54336282,1771977180727,2026-02-24T23:53:01.616476+00:00,2026-02-25 00:53:03,64089.54336282
5,64081.79535897,1771977241725,2026-02-24T23:54:01.616476+00:00,2026-02-25 00:54:03,64081.79535897
5,64073.45224922,1771977301468,2026-02-24T23:55:01.616476+00:00,2026-02-25 00:55:03,64073.45224922
5,64068.99333165,1771977362000,2026-02-24T23:56:01.616476+00:00,2026-02-25 00:56:03,64068.99333165
5,64063.0378001,1771977422053,2026-02-24T23:57:01.616476+00:00,2026-02-25 00:57:03,64063.0378001
5,64062.52692458,1771977484025,2026-02-24T23:58:01.616476+00:00,2026-02-25 00:58:05,64062.52692458
5,64073.33267977,1771977541675,2026-02-24T23:59:01.616476+00:00,2026-02-25 00:59:03,64073.33267977
