mins,price,closeTime,timestamp,fetch_time,price_float
5,66881.50494478,1772324528104,2026-03-01T00:22:00.079336+00:00,2026-03-01 01:22:08,66881.50494478
5,66881.48005213,1772324532628,2026-03-01T00:22:10.507215+00:00,2026-03-01 01:22:12,66881.48005213
5,66887.44814929,1772324592045,2026-03-01T00:23:10.507215+00:00,2026-03-01 01:23:12,66887.44814929
5,66899.99174134,1772324653024,2026-03-01T00:24:10.507215+00:00,2026-03-01 01:24:13,66899.99174134
5,66943.98012559,1772324713215,2026-03-01T00:25:10.507215+00:00,2026-03-01 01:25:12,66943.98012559
5,66929.56706481,1772324773071,2026-03-01T00:26:10.507215+00:00,2026-03-01 01:26:12,66929.56706481
5,66917.06961272,1772324831833,2026-03-01T00:27:10.507215+00:00,2026-03-01 01:27:11,66917.06961272
5,66895.16037394,1772324892894,2026-03-01T00:28:11.126736+00:00,2026-03-01 01:28:12,66895.16037394
5,66847.71001904,1772324953892,2026-03-01T00:29:11.841649+00:00,2026-03-01 01:29:14,66847.71001904
5,66818.40901856,1772325014464,2026-03-01T00:30:12.076835+00:00,2026-03-01 01:30:13,66818.40901856
5,66802.23790503,1772325074123,2026-03-01T00:31:12.211055+00:00,2026-03-01 01:31:14,66802.23790503
