date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-02-28,21,66700.47509954966,66251.61017187,67056.24860931,66338.26061669,66945.89677209,58,2026-02-28 22:00:25
2026-02-28,22,66630.421164777,66447.65421646,66917.91108192,66917.91108192,66684.64934002,60,2026-02-28 23:00:26
2026-02-28,23,67109.05932237633,66698.6899434,67569.12317439,66698.6899434,67206.11544882,60,2026-03-01 00:00:25
